coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
4ab4e8ae-38eb-42e2-bb43-3b3e6d59ac68,,,preservedspecimen,,ptychadena subpunctata,160613,amphibia,herp,,,a. channing,,,africa,,namibia,nam,katima mulilo dist.,1986-02-17,2018-07-13T11:41:34.579378+00:00,0.2898550724637681,,,,,,9cea07d7ae70f935db77c6a90ed35c70d89aebab,,ptychadenidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected""]",,ptychadena,,"{""lat"": -18.4333333333, ""lon"": 23.65}",,false,false,animalia; chordata; amphibia; anura; ranidae,,,,cas,cas,,animalia,,,,,,,"nkasa island [18 26 s, 23 39 e]",,,,,,,,,urn:catalog:cas:herp:160613,anura,chordata,"[""51b958bb-9d5f-48d7-9a97-e372c0c747c3\\urn:catalog:cas:herp:160613""]",,51b958bb-9d5f-48d7-9a97-e372c0c747c3,ptychadena subpunctata,subpunctata,48,caprivi region,2428926,accepted,species,,4ab4e8ae-38eb-42e2-bb43-3b3e6d59ac68,17 feb 1986,"namibia: caprivi strip: nkasa island (18 26 s, 23 39 e)",,
2adab6f9-6244-48c6-878a-7d16cc78da58,,,preservedspecimen,,ptychadena subpunctata,160612,amphibia,herp,,,a. channing,,,africa,,namibia,nam,katima mulilo dist.,1986-02-17,2018-07-13T11:41:34.579378+00:00,0.2898550724637681,,,,,,209a83b7a327d969b3763753850c11055789a507,,ptychadenidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected""]",,ptychadena,,"{""lat"": -18.4333333333, ""lon"": 23.65}",,false,false,animalia; chordata; amphibia; anura; ranidae,,,,cas,cas,,animalia,,,,,,,"nkasa island [18 26 s, 23 39 e]",,,,,,,,,urn:catalog:cas:herp:160612,anura,chordata,"[""51b958bb-9d5f-48d7-9a97-e372c0c747c3\\urn:catalog:cas:herp:160612""]",,51b958bb-9d5f-48d7-9a97-e372c0c747c3,ptychadena subpunctata,subpunctata,48,caprivi region,2428926,accepted,species,,2adab6f9-6244-48c6-878a-7d16cc78da58,17 feb 1986,"namibia: caprivi strip: nkasa island (18 26 s, 23 39 e)",,
379c6056-6967-4024-aaf2-a2ebc3017d71,,,preservedspecimen,,ptychadena subpunctata,160661,amphibia,herp,,,a. channing,,,africa,,namibia,nam,katima mulilo dist.,1986-03-04,2018-07-13T11:41:34.579378+00:00,0.2898550724637681,,,,,,3c326eff79fb7373b167e75025a41075b8d5300c,,ptychadenidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""dwc_scientificnameauthorship_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected""]",,ptychadena,,"{""lat"": -17.7333333333, ""lon"": 24.8333333333}",,false,false,animalia; chordata; amphibia; anura; ranidae,,,,cas,cas,,animalia,,,,,,,"mutwalwezi [17 44 s, 24 50 e]",,,,,,,,,urn:catalog:cas:herp:160661,anura,chordata,"[""51b958bb-9d5f-48d7-9a97-e372c0c747c3\\urn:catalog:cas:herp:160661""]",,51b958bb-9d5f-48d7-9a97-e372c0c747c3,ptychadena subpunctata,subpunctata,63,caprivi region,2428926,accepted,species,,379c6056-6967-4024-aaf2-a2ebc3017d71,4 mar 1986,"namibia: caprivi strip: mutwalwezi (17 44 s, 24 50 e)",,
49593c9c-516b-4862-9d41-8308fdca9e33,,,preservedspecimen,,ptychadena subpunctata,a-73977,amphibia,herpetology,,,,,,africa,,zambia,zmb,,,2017-01-08T07:53:56.597557+00:00,0.21739130434782608,,,,,,e5fecd2fd8969e8e21a810fde1127c1de6108045,,ptychadenidae,,"[""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_added""]",,ptychadena,,,,false,false,animalia | chordata | amphibia | anura | ptychadenidae | ptychadena,,,,amnh,urn:lsid:biocol.org:col:34925,,animalia,,,,,,,,,,,,,,,,urn:catalog:amnh:herpetology:a-73977,anura,chordata,"[""7ce9b7d0-a8da-4528-bbe3-2c4f407f9cea\\urn:catalog:amnh:herpetology:a-73977""]",,7ce9b7d0-a8da-4528-bbe3-2c4f407f9cea,ptychadena subpunctata,subpunctata,,,2428926,accepted,species,,49593c9c-516b-4862-9d41-8308fdca9e33,,africa | zambia,,
3b4c2d42-6866-4265-8a2a-3f390e53aaf6,,,preservedspecimen,,ptychadena subpunctata,142912,amphibia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,r. g. japp,,,africa,,zambia,zmb,,,2017-02-10T14:56:45.504269+00:00,0.21739130434782608,,,,,,6de6c30ba4bc26a3ae7a90ac86dcd236c152d5ac,,ptychadenidae,2162,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_datasetid_replaced""]",,ptychadena,,,,false,false,animalia chordata amphibia anura ranidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,3ef74f5c-f277-4dfe-9fbd-cbe334082735,anura,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\3ef74f5c-f277-4dfe-9fbd-cbe334082735""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,ptychadena subpunctata,subpunctata,,,2428926,accepted,species,,3b4c2d42-6866-4265-8a2a-3f390e53aaf6,,,,
d26ce5f6-2cea-43db-b882-9e8d2de309d7,,,preservedspecimen,,ptychadena subpunctata,142917,amphibia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,r. g. japp,,,africa,,zambia,zmb,,,2017-02-10T14:56:45.504269+00:00,0.21739130434782608,,,,,,6921eb35654cbd209a4eb01394eb238f8ac0547b,,ptychadenidae,2117,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_added"", ""dwc_datasetid_replaced""]",,ptychadena,,,,false,false,animalia chordata amphibia anura ranidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,42e84b59-f7e0-42e1-8226-991ecb03a5f5,anura,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\42e84b59-f7e0-42e1-8226-991ecb03a5f5""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,ptychadena subpunctata,subpunctata,,,2428926,accepted,species,,d26ce5f6-2cea-43db-b882-9e8d2de309d7,,,,
ffaece20-7289-473c-952f-071ebe69b93c,,,preservedspecimen,,ptychadena subpunctata,142918,amphibia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,r. g. japp,,,africa,,zambia,zmb,,1963-03-19,2017-02-10T14:56:45.504269+00:00,0.2463768115942029,,,,,,96268d5894a1e09656e20be365dfb0e7d46699d5,,ptychadenidae,2004,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced""]",,ptychadena,,,,false,false,animalia chordata amphibia anura ranidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,7f46e2a7-0ec0-4263-8799-07624ae7fa9d,anura,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\7f46e2a7-0ec0-4263-8799-07624ae7fa9d""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,ptychadena subpunctata,subpunctata,78,,2428926,accepted,species,,ffaece20-7289-473c-952f-071ebe69b93c,,,,
ddc9d001-59ca-4105-8c70-3bbf571465ad,,,preservedspecimen,,ptychadena subpunctata,142919,amphibia,amphibians and reptiles,http://grbio.org/cool/05pf-h6mh,,r. g. japp,,,africa,,zambia,zmb,,1963-03-19,2017-02-10T14:56:45.504269+00:00,0.2463768115942029,,,,,,bcbbef8edb7409cab0f3b1ed636c24f407458f1f,,ptychadenidae,2004,"[""dwc_taxonrank_added"", ""dwc_family_replaced"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced""]",,ptychadena,,,,false,false,animalia chordata amphibia anura ranidae,,,,fmnh,http://biocol.org/urn:lsid:biocol.org:col:34795,,animalia,,,,,,,,,,,,,,,,1820183f-cef1-4549-880f-4aaf16554491,anura,chordata,"[""b4bcc255-4acf-4966-b9b3-af9dd4e458d1\\1820183f-cef1-4549-880f-4aaf16554491""]",,b4bcc255-4acf-4966-b9b3-af9dd4e458d1,ptychadena subpunctata,subpunctata,78,,2428926,accepted,species,,ddc9d001-59ca-4105-8c70-3bbf571465ad,,,,
147d14cc-11ac-47de-893c-3e331c954ad6,,,preservedspecimen,,ptychadena subpunctata,132538,amphibia,amphibians & reptiles,,,,,,africa,,botswana,bwa,,1952-09-13,2018-04-12T14:40:34.943694+00:00,0.2608695652173913,,,,,,bc4ab9925165a192e50f35536d7e9d41ce399d62,,ptychadenidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected""]",,ptychadena,,"{""lat"": -19.9833, ""lon"": 23.4167}",,false,false,"animalia, chordata, vertebrata, amphibia, anura, ptychadenidae",,1.0,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,maun,,,,,,,,,http://n2t.net/ark:/65665/336d3df9e-3b04-4ec1-9521-35ce9281cfcc,anura,chordata,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/336d3df9e-3b04-4ec1-9521-35ce9281cfcc""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,ptychadena subpunctata,subpunctata,257,ngamiland,2428926,accepted,species,,147d14cc-11ac-47de-893c-3e331c954ad6,13 sep 1952,,,
418a087b-8fdf-4bf2-8555-d07017bfcb98,,,preservedspecimen,,ptychadena subpunctata,200255,amphibia,amphibians & reptiles,,,,,,africa,,botswana,bwa,,1975-11-21,2018-04-12T14:40:34.943694+00:00,0.2463768115942029,,,,,,1a07fb8e0c84871839d4192c9135a81820d217fa,,ptychadenidae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected""]",,ptychadena,,,,false,false,"animalia, chordata, vertebrata, amphibia, anura, ptychadenidae",,1.0,,usnm,http://biocol.org/urn:lsid:biocol.org:col:34871,,animalia,,,,,,,"xugana, annual flood plain",,,,,,,,,http://n2t.net/ark:/65665/33d47b683-7ced-4d94-80b4-bee2500ff737,anura,chordata,"[""a6eee223-cf3b-4079-8bb2-b77dad8cae9d\\http://n2t.net/ark:/65665/33d47b683-7ced-4d94-80b4-bee2500ff737""]",,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,ptychadena subpunctata,subpunctata,325,,2428926,accepted,species,,418a087b-8fdf-4bf2-8555-d07017bfcb98,21 nov 1975,,,
