coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:acceptedNameUsageID,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedOrganisms,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:classs,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:language,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:modified,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:originalNameUsage,dwc:originalNameUsageID,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:sampleSizeValue,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,gbif:Identifier,gbif:Reference,idigbio:recordId,symbiota:recordEnteredBy,symbiota:verbatimScientificName,zan:ChronometricDate
6920eef7-a90e-42f5-8515-e299c1844467,,,,,,,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,14759,Amphibia,,Herpetology Collection,,,,,,,,,,,,16,-17.05,25.15,,,,,,,,197,,1930/07/16,,,,Ranidae,,No Field Number,,,,,Ptychadena,,,,,,,,,,,,,,,,,,,,,,,,TM,,,,Animalia,,,,,,,,,"Kasane, Chobe river",,,,,,,,,,,,7,,,,,,,,,urn:catalog:TM:Herpetology Collection:14759,,,Anura,,,,,,,,,,Chordata,,,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,197,,,,species,,,,,,,,,,,,,,,,1930,,,,,,
382d5f02-a95b-4147-a4cb-eb30d8ca3f73,,,,,,,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,30907,Amphibia,,Herpetology Collection,,,,,,,,,,,,16,,,,,,,,,,106,,1965/04/16,,,,Ranidae,,No Field Number,,,,,Ptychadena,,,,,,,,,,,,,,,,,,,,,,,,TM,,,,Animalia,,,,,,,,,"Sepopa, Okavango river",,,,,,,,,,,,4,,,,,,,,,urn:catalog:TM:Herpetology Collection:30907,,,Anura,,,,,,,,,,Chordata,,,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,106,,,,species,,,,,,,,,,,,,,,,1965,,,,,,
aa8b76f8-0ad1-44fb-a987-48f31a3d46cb,,,,,,,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,39147,Amphibia,,Herpetology Collection,,,,,,,,,,,,27,,,,,,,,,,270,,1970/09/27,,,,Ranidae,,No Field Number,,,,,Ptychadena,,,,,,,,,,,,,,,,,,,,,,,,TM,,,,Animalia,,,,,,,,,"Kwando riverwest bank, 16 km S of Kongola ferry",,,,,,,,,,,,9,,,,,,,,,urn:catalog:TM:Herpetology Collection:39147,,,Anura,,,,,,,,,,Chordata,,,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,270,,,,species,,,,,,,,,,,,,,,,1970,,,,,,
773d0992-aa01-43a1-a039-74fe2d748558,,,,,,,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,39182,Amphibia,,Herpetology Collection,,,,,,,,,,,,1,,,,,,,,,,274,,1970/10/01,,,,Ranidae,,No Field Number,,,,,Ptychadena,,,,,,,,,,,,,,,,,,,,,,,,TM,,,,Animalia,,,,,,,,,Old Sangwali,,,,,,,,,,,,10,,,,,,,,,urn:catalog:TM:Herpetology Collection:39182,,,Anura,,,,,,,,,,Chordata,,,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,274,,,,species,,,,,,,,,,,,,,,,1970,,,,,,
147d14cc-11ac-47de-893c-3e331c954ad6,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,132538,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,13,-19.9833,23.4167,,,,,,,,257,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana, Ngamiland",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,Maun,,,,,,,,,,,,9,,,,,,,,,http://n2t.net/ark:/65665/336d3df9e-3b04-4ec1-9521-35ce9281cfcc,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,257,Ngamiland,,,,,,,,,,,13 Sep 1952,,,,,,,,1952,,,,,,
418a087b-8fdf-4bf2-8555-d07017bfcb98,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200255,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,21,,,,,,,,,,325,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Xugana, annual flood plain",,,,,,,,,,,,11,,,,,,,,,http://n2t.net/ark:/65665/33d47b683-7ced-4d94-80b4-bee2500ff737,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,325,,,,,,,,,,,,21 Nov 1975,,,,,,,,1975,,,,,,
63349dbd-01a5-48c4-9c8b-9a28b11d9bca,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200265,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,21,,,,,,,,,,325,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Xugana, annual flood plain",,,,,,,,,,,,11,,,,,,,,,http://n2t.net/ark:/65665/3401e674b-b844-4b72-8bde-8d86ea0eaf3f,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,325,,,,,,,,,,,,21 Nov 1975,,,,,,,,1975,,,,,,
49593c9c-516b-4862-9d41-8308fdca9e33,,,http://vertnet.org/resources/norms.html,,en,http://creativecommons.org/publicdomain/zero/1.0,2015-02-19,http://portal.vertnet.org/o/amnh/herpetology?id=a-73977,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,A-73977,Amphibia,,Herpetology,,Africa,,,Zambia,ZM,,,,,,,,,,,,,,,,,native,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,Animalia | Chordata | Amphibia | Anura | Ptychadenidae | Ptychadena,Africa | Zambia |  |  |  |  |  |,,,,,,,,,,locality,,AMNH,urn:lsid:biocol.org:col:34925,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,,,,ICZN,,,urn:catalog:AMNH:Herpetology:A-73977,,present,Anura,,,,,,,,,,Chordata,,fluid,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,,,,,species,,,,,,,,,,Africa | Zambia,,,,,,,,,,,,
7d6a1df2-a8bd-4faa-8ba1-dc7f9c891a2d,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200270,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,21,,,,,,,,,,325,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Xugana, permanent swamp",,,,,,,,,,,,11,,,,,,,,,http://n2t.net/ark:/65665/3a37ff1c7-7b7d-4325-a21a-47fcbd229e15,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,325,,,,,,,,,,,,21 Nov 1975,,,,,,,,1975,,,,,,
98063c29-6c20-42a3-b681-9af0aae4772b,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200256,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,21,,,,,,,,,,325,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Xugana, annual flood plain",,,,,,,,,,,,11,,,,,,,,,http://n2t.net/ark:/65665/3a7e2bc21-cd10-488a-906b-18e69ac5bf9c,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,325,,,,,,,,,,,,21 Nov 1975,,,,,,,,1975,,,,,,
